id;phone;avatar_url;role;preferred_language;receive_email_notifications;receive_push_notifications;loyalty_points;created_at;user_id;location_id
1;+37360001001;;MANAGER;ro;true;true;0;2024-01-15T10:00:00;3;1
2;+37360001002;;MANAGER;ro;true;true;0;2024-02-01T10:00:00;4;2
3;+37360002001;;MANAGER;ro;true;true;0;2024-01-20T10:00:00;5;3
4;+37360002002;;MANAGER;ro;true;true;0;2024-03-01T10:00:00;6;4
5;+37360003001;;MANAGER;ro;true;true;0;2024-03-01T10:00:00;7;5
6;+37360004001;;MANAGER;ro;true;true;0;2023-06-15T10:00:00;8;6
7;+37360005001;;MANAGER;ro;true;true;0;2024-02-01T10:00:00;9;7
8;+37360005002;;MANAGER;ro;true;true;0;2024-04-01T10:00:00;10;8
9;+37368100001;;CLIENT;ro;true;false;150;2025-01-10T10:00:00;11;
10;+37368200002;;CLIENT;ro;true;true;320;2025-03-15T10:00:00;12;
11;+37368300003;;CLIENT;ro;false;false;80;2025-06-20T10:00:00;13;
12;+37369001001;;STAFF;ro;true;true;0;2026-01-10T10:00:00;14;1
13;+37369001002;;STAFF;ro;true;true;0;2026-01-10T10:00:00;15;2
14;+37369002001;;STAFF;ro;true;true;0;2026-01-15T10:00:00;16;3
15;+37369002002;;STAFF;ro;true;true;0;2026-01-15T10:00:00;17;4
